filename	imageID	brightness_median	brightness_stdev	saturation_median	saturation_stdev	hue_median	hue_stdev	date	like_count	dislike_count
$1 THRIFT HAUL (try on goodwill outlet haul)-oNXSyNbrXrk.jpg	1	170	60.2544	20	39.4959	31	75.5398	20180315	25090	229
10 WAYS TO (re)WEAR A DRESS-Z2btCqHejx4.jpg	2	171	49.2876	28	39.9766	14	102.9125	20190404	150605	519
30 BACK TO SCHOOL OUTFITS (yes it's that time of year i'm so sorry)-InVOyJJoNK8.jpg	3	195	49.2895	31	37.5119	23	101.4877	20180809	105436	1034
30 BACK TO SCHOOL OUTFITS to help you survive the school year-PlBaIvxsqys.jpg	4	135	60.6197	39	51.4108	46	90.6036	20190822	144125	483
5 Fashion Resolutions for 2017-s2O7rs2sk8A.jpg	5	187	43.8738	27	24.5505	65	34.0088	20170105	565	5
5 Summer Closet Essentials-xIB2JnjkQV4.jpg	6	108	74.7309	37	44.7714	34	73.1415	20160720	577	3
5 WAYS TO REWEAR YOUR NYE DRESS-jGHiyhotAqw.jpg	7	147	57.7804	30	24.6083	34	31.2	20180114	2667	27
50 FACTS ABOUT ME-_Sedxj2X7-k.jpg	8	21	77.1947	20	27.9846	170	91.0409	20171130	9100	38
50 OUTFITS for when you have nothing to wear-PCOo8AW4oI0.jpg	9	189	56.4372	16	49.7213	29	55.0118	20190228	702153	4693
8 Easy Heatless Back To School Hairstyles-Q49yybBSLuI.jpg	10	152	50.1933	16	41.712	157	58.4567	20160908	958	7
a big fat post-grad existential crisis-KA0nGrdrG5A.jpg	11	179	43.9316	35	36.0202	23	55.6372	20190411	94458	598
a lil thrifting adventure + try on haul-tn_PvwGlgCw.jpg	12	125	42.7178	34	25.0003	71	69.3498	20190221	63126	283
a quick channel update _really not that dramatic-Kk8HqLBkoT0.jpg	13	84	63.8695	82	49.669	17	47.8385	20180927	27016	134
a realistic 'what i got for christmas'-JdOts_9VIss.jpg	14	178	71.8079	12	38.3865	155	93.4644	20180916	103540	361
a sPiCy summer thrift haul-5XaoizYNkr4.jpg	15	200	43.0567	24	40.6861	15	91.5999	20180823	53969	246
a week in my ~gLaMoRoUS~ life-8yX8sTWv5D8.jpg	16	120	50.1479	28	35.8785	40	57.5805	20170826	4639	46
A WEEK WITHOUT A PHONE-xJq0MNj6ua8.jpg	17	167	38.6277	18	26.782	59	100.1943	20160122	586	5
all the tea you need to know about me (boys, tinder, plans after college)-9z7wKjeazh4.jpg	18	172	59.5636	27	47.6575	35	86.4632	20180201	5666	23
altering my clothes while bleeding out of my vagina -Uxzro6S-uHs.jpg	19	181	50.9213	15	42.693	19	82.8571	20171005	15123	219
